,Captain/Vice Captain
5740,1
20252,1
11224,1
4779,1
11599,1
14649,1
15624,1
7274,1
3039,1
667,1
1881,1
13178,1
16134,1
20094,1
2748,1
4927,1
11935,1
3866,1
421,1
8885,1
16678,1
14878,1
18808,1
14710,1
2320,1
15639,1
8006,1
19416,1
1335,1
15922,1
1358,1
9586,1
6313,1
5910,1
12704,1
7532,1
5166,1
12267,1
17364,1
10355,1
4168,1
13417,1
4201,1
20141,1
15661,1
19017,1
7454,1
1526,1
134,1
1385,1
11165,1
14642,1
3610,1
17167,1
5332,1
7327,1
16961,1
7064,1
14887,1
19637,1
4312,1
2717,1
20279,1
19662,1
10543,1
3157,1
18416,1
14243,1
11048,1
16415,1
6771,1
12467,1
9198,1
14651,1
12986,1
5423,1
7996,1
15469,1
5102,1
6970,1
13742,1
5432,1
19767,1
11456,1
6130,1
16681,1
6710,1
6966,1
14218,1
12979,1
2208,1
18689,1
17423,1
19929,1
3334,1
14288,1
4038,1
4915,1
9112,1
5380,1
8972,1
11172,1
1509,1
14368,1
7942,1
6817,1
14331,1
20424,1
10329,1
4957,1
14034,1
12720,1
2552,1
19872,1
15911,1
5232,1
12841,1
6262,1
18746,1
8925,1
8755,1
12042,1
4718,1
3506,1
3754,1
6669,1
5556,1
1228,1
2516,1
9888,1
11583,1
11259,1
16782,1
2815,1
9862,1
19054,1
17777,1
3764,1
8374,1
13924,1
10761,1
6647,1
18108,1
7820,1
999,1
21422,1
12128,1
18277,1
14772,1
4034,1
8375,1
13723,1
16080,1
491,1
13023,1
6610,1
1944,1
17474,1
17012,1
1143,1
16600,1
11555,1
3568,1
6287,1
11961,1
9484,1
4298,1
7931,1
17020,1
887,1
16901,1
8592,1
21604,1
14436,1
2582,1
8362,1
13241,1
21529,1
5720,1
18764,1
18732,1
1133,1
6894,1
9121,1
17073,1
14860,1
21508,1
7051,1
15006,1
20765,1
20363,1
10247,1
2039,1
7360,1
3295,1
8603,1
13936,1
20068,1
12643,1
19209,1
6097,1
19770,1
15568,1
5709,1
4744,1
8350,1
10511,1
6438,1
5161,1
19580,1
18735,1
9160,1
2352,1
2511,1
9889,1
3368,1
20990,1
4552,1
16699,1
11643,1
7988,1
8320,1
11889,1
7429,1
15926,1
10205,1
7145,1
9405,1
5543,1
8787,1
5585,1
1833,1
20042,1
11655,1
17444,1
17128,1
13686,1
18176,1
12835,1
18443,1
1791,1
2390,1
7048,1
7221,1
17802,1
16490,1
19712,1
17728,1
6208,1
17973,1
7113,1
19108,1
10563,1
4210,1
13937,1
18948,1
11442,1
8988,1
4841,1
14126,1
11517,1
19907,1
11162,1
6351,1
2020,1
8956,1
9134,1
1773,1
5181,1
16881,1
16248,1
1564,1
15121,1
11682,1
9207,1
14314,1
8329,1
20182,1
2332,1
11325,1
17946,1
14269,1
10884,1
14374,1
1319,1
832,1
19454,1
11300,1
17701,1
8516,1
13327,1
5795,1
14592,1
8089,1
9913,1
12499,1
3297,1
2613,1
14511,1
5379,1
9262,1
10230,1
15009,1
4717,1
19533,1
11997,1
10750,1
16806,1
5882,1
18914,1
12473,1
4064,1
13072,1
13664,1
20154,1
3186,1
10380,1
1696,1
461,1
19954,1
4453,1
14544,1
4766,1
3811,1
8895,1
10501,1
21224,1
14484,1
3024,1
6709,1
5839,1
5403,1
6279,1
10745,1
7112,1
397,1
15958,1
15083,1
15483,1
5947,1
19496,1
14731,1
14196,1
45,1
7937,1
20282,1
7960,1
8040,1
14202,1
13373,1
12618,1
4656,1
20132,1
11532,1
19526,1
11553,1
15274,1
19519,1
13925,1
17513,1
11095,1
14220,1
10081,1
17404,1
19214,1
11279,1
21528,1
17382,1
12322,1
6462,1
2709,1
6350,1
17483,1
11493,1
21476,1
7484,1
3711,1
13465,1
6644,1
19338,1
13329,1
10901,1
5058,1
11202,1
20296,1
14589,1
5116,1
20504,1
12495,1
5095,1
8449,1
5708,1
15268,1
3609,1
500,1
17904,1
3356,1
4074,1
5437,1
1479,1
18344,1
14523,1
9851,1
18933,1
4483,1
13717,1
2933,1
14045,1
17512,1
5099,1
2562,1
3560,1
16677,1
9946,1
9673,1
16046,1
17152,1
21274,1
8026,1
11512,1
15425,1
11988,1
10898,1
10281,1
4079,1
13119,1
16614,1
11316,1
13767,1
1936,1
5679,1
5055,1
10274,1
10388,1
5158,1
19041,1
15773,1
12031,1
352,1
6381,1
6074,1
15548,1
20934,1
10808,1
10915,1
357,1
676,1
10816,1
14811,1
12926,1
8798,1
6296,1
17171,1
6249,1
9240,1
3556,1
7837,1
19152,1
1393,1
19643,1
12716,1
17668,1
13794,1
3483,1
8850,1
13184,1
16438,1
21105,1
7804,1
11233,1
20303,1
14318,1
17266,1
13981,1
12013,1
21384,1
6925,1
5652,1
3617,1
13456,1
21111,1
21178,1
17477,1
11688,1
8873,1
13102,1
17505,1
2121,1
15587,1
13720,1
20762,1
15348,1
13848,1
5090,1
5527,1
7957,1
4012,1
7262,1
6757,1
8840,1
2803,1
15468,1
11448,1
1010,1
16074,1
14255,1
10257,1
12295,1
3715,1
12776,1
16712,1
18201,1
20946,1
8716,1
3825,1
7115,1
950,1
10199,1
20199,1
19772,1
19126,1
8782,1
19336,1
3414,1
4451,1
11084,1
805,1
2237,1
16588,1
9827,1
9563,1
15220,1
18955,1
13645,1
15129,1
4742,1
18634,1
7815,1
4181,1
19136,1
17217,1
7503,1
6633,1
14067,1
12573,1
17347,1
4273,1
17398,1
583,1
7962,1
18245,1
4556,1
1660,1
1555,1
556,1
15594,1
18615,1
9155,1
15872,1
15438,1
4352,1
9549,1
2350,1
11283,1
18124,1
18483,1
18278,1
1562,1
2225,1
747,1
15954,1
3851,1
8070,1
1588,1
7082,1
18146,1
10952,1
13335,1
296,1
6564,1
10621,1
18085,1
19658,1
773,1
19825,1
11028,1
13978,1
18834,1
11722,1
2696,1
14996,1
1662,1
5491,1
6205,1
2252,1
8118,1
4196,1
2478,1
13737,1
17354,1
4418,1
19392,1
18016,1
17970,1
13790,1
841,1
13189,1
16015,1
20375,1
5978,1
15508,1
4356,1
5135,1
15823,1
3646,1
4160,1
9421,1
2229,1
8597,1
3727,1
19220,1
1508,1
20692,1
17077,1
9671,1
10796,1
6508,1
3656,1
13428,1
1667,1
2645,1
7860,1
12319,1
16970,1
6699,1
17466,1
8678,1
10542,1
4261,1
11575,1
19293,1
11179,1
6266,1
7086,1
8882,1
13302,1
9975,1
5521,1
16492,1
10452,1
17941,1
12815,1
20624,1
18878,1
5022,1
20163,1
16083,1
17673,1
6863,1
21183,1
5744,1
14416,1
6670,1
13758,1
11829,1
15743,1
20988,1
8978,1
12419,1
20638,1
14877,1
12440,1
4837,1
4075,1
5272,1
1655,1
9379,1
8397,1
9191,1
8727,1
15385,1
11741,1
2045,1
14602,1
6775,1
20475,1
11966,1
21149,1
14546,1
2659,1
18817,1
1691,1
10687,1
17620,1
11210,1
18913,1
6045,1
5869,1
11804,1
21281,1
21389,1
6516,1
18172,1
7848,1
1247,1
1541,1
5111,1
15839,1
12709,1
8957,1
10210,1
13551,1
6760,1
7160,1
16751,1
20387,1
363,1
18592,1
14049,1
1402,1
18116,1
13709,1
14674,1
18987,1
4468,1
2988,1
6011,1
521,1
21262,1
13207,1
4101,1
4266,1
6138,1
5201,1
10419,1
10835,1
120,1
5668,1
19107,1
19128,1
20888,1
2393,1
18038,1
8410,1
2777,1
12795,1
17844,1
749,1
2598,1
19447,1
2973,1
12280,1
6773,1
4910,1
14872,1
1123,1
6790,1
10683,1
6102,1
16136,1
13987,1
10968,1
5722,1
6261,1
211,1
11826,1
14512,1
21135,1
20010,1
4585,1
15626,1
7778,1
13043,1
17499,1
3139,1
12656,1
8930,1
2855,1
7667,1
975,1
19734,1
20196,1
